N,Description,Values,Keep
1,symboling,"-3, -2, -1, 0, 1, 2, 3",No
2,normalized-losses,continuous from [65 to 256],Yes
3,make,"alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, mitsubishi, nissan, peugot, plymouth, porsche, renault, saab, subaru, toyota, volkswagen, volvo ",Yes
4,fuel-type,"diesel, gas",Yes
5,aspiration,"std, turbo",Yes
6,num-of-doors ,"four, two",Yes
7,body-style,"hardtop, wagon, sedan, hatchback, convertible",Yes
8,drive-wheels,"4wd, fwd, rwd. ",Yes
9,engine-location,"front, rear",Yes
10,wheel-base,continuous from [86.6 to 120.9],Yes
11,length,continuous from [141.1 to 208.1],Yes
12,width,continuous from [60.3 to 72.3],Yes
13,height,continuous from [47.8 to 59.8],Yes
14,curb-weight: ,continuous from [1488 to 4066],Yes
15,engine-type,"dohc, dohcv, l, ohc, ohcf, ohcv, rotor",Yes
16,num-of-cylinders,"eight, five, four, six, three, twelve, two",Yes
17,engine-size,continuous from [61 to 326],Yes
18,fuel-system,"1bbl, 2bbl, 4bbl, idi, mfi, mpfi, spdi, spfi",Yes
19,bore,continuous from [2.54 to 3.94],Yes
20,stroke,continuous from [2.07 to 4.17],Yes
21,compression-ratio,continuous from [7 to 23],Yes
22,horsepower,continuous from [48 to 288],Yes
23,peak-rpm,"continuous from [4,150 to 6,600]",Yes
24,city-mpg,continuous from [13 to 49],Yes
25,highway-mpg,continuous from [16 to 54],Yes
26,price,"continuous from [5,118 to 45,400]",Yes
